"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C62, C63, C85, C86, C89";"C0201_334";6;"10pF";;;
2;"C2, C6";"C0201_334";2;"0.33µF";;;
3;"C3";"C0201_334";1;"0.47µf";;;
4;"C4, C5, C7";"C0201_334";3;"";;;
5;"C8";"C0201_334";1;"1000pF";;;
6;"C9, C10";"C0201_334";2;"0.47µF";;;
7;"C11, C12, C13, C14, C59, C68, C69, C70, C71, C82";"C0201_334";10;"1µF";;;
8;"C15, C17, C19";"C0402_334";3;"10nF";;;
9;"C16, C18, C20, C22, C24, C26, C28, C30, C32, C34, C35, C36, C37, C41, C42, C43, C44, C64, C65, C66, C67, C87, C88, C90, C91";"C0201_334";25;"0.1µF";;;
10;"C21, C25, C29, C33, C46, C51";"C1210_334";6;"22µF";;;
11;"C23, C27, C31, C45, C47";"C1210_334";5;"10µF";;;
12;"C38, C39, C40, C48, C49, C50, C55, C56, C57, C58, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81";"C0201_334";20;"4.7µF";;;
13;"C60, C83";"C0201_334";2;"31pF";;;
14;"C61, C84";"C0201_334";2;"10nF";;;
15;"C92";"C0201_334";1;"0.1µf";;;
16;"D1, D2";"LED-0603";2;"Green";;;
17;"FB1, FB2, FB3, FB4";"BEADC1608X90N";4;"FBMH1608HL601-T";;;
18;"IC1";"QFN50P1000X1000X100-73N";1;"AD9523BCPZ";;;
19;"J1, J2, J5, J6, J7, J8, J9, J10, J11, J12, J13";"1420731211";11;"142-0731-211";;;
20;"J3, J4";"CONN_CJT-T-P-XX-ST-TH1_SAI";2;"CJT-T-P-HH-ST-TH1";;;
21;"JP1";"2X06_325";1;"";;;
22;"JP2";"2X07_325";1;"";;;
23;"L1, L2, L3, L4, L5, L6, L7, L8";"L0201_334";8;"1.3nH";;;
24;"L9, L10, L11, L12, L13";"L5650M_334";5;"";;;
25;"R1, R12, R13, R26";"R0201_334";4;"100R";;;
26;"R2, R3, R4, R7, R9, R11";"R0201_334";6;"1k";;;
27;"R5, R14, R15, R19, R20, R27, R28, R32, R33";"R0201_334";9;"0R";;;
28;"R6, R8, R10";"R0201_334";3;"0.65k";;;
29;"R16, R29";"R0201_334";2;"931R";;;
30;"R17, R30";"R0201_334";2;"30R";;;
31;"R18, R31";"R0201_334";2;"330R";;;
32;"R21, R34";"R0201_334";2;"500R";;;
33;"R22, R23, R24, R25, R35, R36, R37, R38";"R0201_334";8;"200k";;;
34;"R39, R40, R41";"R0201_334";3;"22R";;;
35;"U1, U6";"CC-48-10_ADI";2;"ADF4382ABCCZ";;;
36;"U2, U3, U7, U9";"DQ1225_MNC";4;"MTX2-143+";;;
37;"U4, U5, U8, U10";"SMT_DB-FD-T05_SUS";4;"ATS1005-3DB-FD-T05";;;
38;"UNK_HOLE_0";"dummyfp0";1;"";;;
39;"UNK_HOLE_1";"dummyfp1";1;"";;;
40;"UNK_HOLE_2";"dummyfp2";1;"";;;
41;"UNK_HOLE_3";"dummyfp3";1;"";;;
42;"X4";"SMD5_ECOC-2522_25P4X22_ECS";1;"ECOC-2522-100.000-3HC";;;
43;"X5, X6";"SMD4_CVHD-950_CRX";2;"CVHD-950-50.000";;;
44;"X10, X11, X12, X13, X14, X15";"22-23-2021_165";6;"22-23-2021";;;
